FAR EAST 32 INC,"34 36 W 32ND ST
ON WEST 32ND BET. 5 & 6 AVES.
NEW YORK, NY 10001",341,RW,12/31/2006,License is Inactive,1157906,RESTAURANT WINE,License is Inactive,1,10/29/2004,01/01/2006,12/31/2006
CHELSEA 26 LLC,"249 W 26TH ST
7TH & 8TH STREETS
NEW YORK, NY 10001",252,OP,02/28/2017,License is Active,1157992,ON-PREMISES LIQUOR,License is Active,4,11/02/2004,03/01/2015,02/28/2017
CHELSEA 26 LLC,"249 W 26TH ST
NEW YORK, NY 10001",001,ST,03/01/2005,Expired,1157993,TEMPORARY PERMIT,Expired,4,11/02/2004,12/02/2004,03/01/2005
CAFFE BUON GUSTO DUE CORP,"249 W 26TH STREET
NEW YORK, NY 10001",ML1,OP,03/03/2005,License is Inactive,1157994,ON-PREMISES LIQUOR,License is Inactive,4,11/02/2004,03/03/2005,03/03/2005
AMA RESTAURANTS LLC,"410 8TH AVENUE
31ST & 32ND STREETS
NEW YORK, NY 10001",901,OP,09/30/2016,License is Active,ON-PREMISES LIQUOR,License is Active,1,"
",AMA RESTAURANTS LLC,BLARNEY STONE,1
AMA RESTAURANTS LLC,"410 8TH AVENUE
31ST & 32ND STREETS
NEW YORK, NY 10001",902,OP,09/30/2016,License is Active,ON-PREMISES LIQUOR,License is Active,1,"
",AMA RESTAURANTS LLC,BLARNEY STONE,1
MANHATTAN DING DONG DANG MUSIC STUDIO INC,"32 W 32ND STREET 6TH FL
BROADWAY & 5TH AVENUE
NEW YORK, NY 10001",344,TW,03/31/2011,License is Inactive,1158805,TAVERN WINE,License is Inactive,1,11/26/2004,04/01/2010,03/31/2011
EMANON PROMOTIONS INC,"229 WEST 28TH STREET
WEST 27TH STREET & W 29TH ST
NEW YORK, NY 10001",252,OP,,License is Inactive,1159045,ON-PREMISES LIQUOR,License is Inactive,2,12/03/2004,,
EMANON PROMOTIONS INC,"229 WEST 28TH STREET
NEW YORK, NY 10001",001,ST,,License is Inactive,1159046,TEMPORARY PERMIT,License is Inactive,2,12/03/2004,,
EMANON PROMOTIONS INC,"229 WEST 28TH STREET
WEST 27TH ST & W 29TH ST
NEW YORK, NY 10001",901,OP,,License is Inactive,ON-PREMISES LIQUOR,License is Inactive,2,"
",EMANON PROMOTIONS INC,ADDL BAR,1
EMANON PROMOTIONS INC,"229 WEST 28TH STREET
NEW YORK, NY 10001",902,OP,,License is Inactive,ON-PREMISES LIQUOR,License is Inactive,2,"
",EMANON PROMOTIONS INC,,1
229 RESTAURANT INC,"229 W 28TH STREET
NEW YORK, NY 10001",ML1,OP,,License is Inactive,1159049,ON-PREMISES LIQUOR,License is Inactive,2,12/03/2004,,
513 WEST 27TH TRATTORIA INC,"513 W 27TH ST
10TH AVENUE & 11TH AVENUE
NEW YORK, NY 10001",252,OP,06/30/2011,License is Inactive,1159270,ON-PREMISES LIQUOR,License is Inactive,3,12/08/2004,07/01/2009,06/30/2011
THIRTEEN GROUP LLC,"128 W 26TH STREET
6TH & 7TH AVENUES
NEW YORK, NY 10001",252,OP,02/28/2017,License is Inactive,1159310,ON-PREMISES LIQUOR,License is Inactive,1,12/09/2004,03/01/2015,02/28/2017
GREELEY SQUARE SHOP INC,"35 W 31ST STREET
BROADWAY & 5TH AVENUE
NEW YORK, NY 10001",122,A,,License is Inactive,1159763,GROCERY STORE BEER,License is Inactive,3,12/16/2004,,
SIX LOUNGE LLC,"525 W 29TH ST
10TH & 11TH AVENUES
NEW YORK, NY 10001",252,OP,03/31/2015,License is Inactive,1161013,ON-PREMISES LIQUOR,License is Inactive,1,01/21/2005,04/08/2013,03/31/2015
SIX LOUNGE LLC,"525 W 29TH ST
NEW YORK, NY 10001",901,OP,,License is Inactive,ON-PREMISES LIQUOR,License is Inactive,1,"
",SIX LOUNGE LLC,ADDL BAR,1
WMRD PIZZA LLC,"800 AVENUE OF THE AMERICAS
27TH & 28TH STREETS
NEW YORK, NY 10001",341,RW,05/31/2017,License is Active,1161123,RESTAURANT WINE,License is Active,1,01/25/2005,06/01/2015,05/31/2017
PINNACLE WINE VAULT LLC,"214 W 29TH STREET SUITE 703A
7TH & 8TH AVENUES
NEW YORK, NY 10001",303,WW,03/31/2009,License is Inactive,1161292,WHOLESALE WINE,License is Inactive,,02/01/2005,04/01/2008,03/31/2009
O'CONNECKE REST CORP,"108 W 32ND STREET
NEW YORK, NY 10001",252,OP,04/30/2009,License is Inactive,1161299,ON-PREMISES LIQUOR,License is Inactive,4,02/01/2005,05/01/2007,04/30/2009
MC QUADES 32ND REST CORP,"108 W 32ND STREET
NEW YORK, NY 10001",ML1,RL,06/21/2005,License is Inactive,1161300,RESTAURANT LIQUOR,License is Inactive,4,02/01/2005,06/21/2005,06/21/2005
TEAM MWB LLC,"167 8TH AVENUE
NEW YORK, NY 10001",252,OP,02/28/2017,License is Active,1161532,ON-PREMISES LIQUOR,License is Active,2,02/08/2005,03/01/2015,02/28/2017
MORGAN GROCERY & DELI CORP,"350 9TH AVE
29TH & 30TH STREETS
NEW YORK, NY 10001",122,AX,02/28/2014,License is Inactive,1161595,"GROCERY BEER, WINE PROD",License is Inactive,4,02/10/2005,03/01/2011,02/28/2014
SOUTH PACIFIC WINES LLC,"292 5TH AVE SUITE 505
30TH & 31ST STREETS
NEW YORK, NY 10001",303,WW,08/31/2016,License is Inactive,1162000,WHOLESALE WINE,License is Inactive,,02/23/2005,09/01/2013,08/31/2016
242 TENTH AVENUE LLC,"242 10TH AVE
24TH & 25TH STREETS
NEW YORK, NY 10001",252,OP,05/31/2018,License is Active,1162298,ON-PREMISES LIQUOR,License is Active,4,03/04/2005,06/01/2016,05/31/2018
IN GON KIM,"37 W 32ND STREET
BROADWAY & 5TH AVENUE
NEW YORK, NY 10001",252,OP,08/31/2011,License is Inactive,1162397,ON-PREMISES LIQUOR,License is Inactive,4,03/09/2005,09/11/2009,08/31/2011
230FA LLC,"230 5 AV 1148 56BWAY228 32 5AV
WEST 26TH & W 27TH STREETS
NEW YORK, NY 10001",252,OP,03/31/2018,License is Active,1162518,ON-PREMISES LIQUOR,License is Active,1,03/11/2005,04/01/2016,03/31/2018
230FA LLC,"230 5 AV 1148 56BWAY228 32 5AV
WEST 26TH & W 27TH STREETS
NEW YORK, NY 10001",901,OP,03/31/2018,License is Active,ON-PREMISES LIQUOR,License is Active,1,"
",230FA LLC,ADDL BAR ,1
230FA LLC,"230 5 AV 1148 56BWAY228 32 5AV
WEST 26TH & W 27TH STREETS
NEW YORK, NY 10001",902,OP,03/31/2018,License is Active,ON-PREMISES LIQUOR,License is Active,1,"
",230FA LLC,ADDL BAR,1
7 & 28 PIZZA INC,"324 7TH AVE STORE B
WEST 28TH ST & W 29TH ST
NEW YORK, NY 10001",141,EB,05/31/2011,License is Inactive,1163376,EATING PLACE BEER,License is Inactive,4,04/06/2005,06/01/2008,05/31/2011
AM & AL DELI INC,"374 8TH AVENUE
28TH & 29TH STREETS
NEW YORK, NY 10001",122,AX,03/31/2008,License is Inactive,1163443,"GROCERY BEER, WINE PROD",License is Inactive,2,04/07/2005,04/29/2005,03/31/2008
MOHAMED A FURWAN,"245 9TH AVE
NEW YORK, NY 10001",122,AX,05/31/2008,License is Inactive,1163668,"GROCERY BEER, WINE PROD",License is Inactive,3,04/13/2005,06/28/2005,05/31/2008
JOON & HER CORP,"10 W 32ND STREET FIFTH FL
5TH AVENUE & 6TH AVENUE
NEW YORK, NY 10001",252,OP,07/31/2007,License is Inactive,1164700,ON-PREMISES LIQUOR,License is Inactive,4,05/10/2005,08/04/2005,07/31/2007
"CHUNG MOO RO, BB, INC","10 W 32ND STREET
5TH AVENUE & 6TH AVENUE
NEW YORK, NY 10001",252,OP,08/31/2011,License is Inactive,1164703,ON-PREMISES LIQUOR,License is Inactive,1,05/10/2005,09/01/2009,08/31/2011
"CHUNG MOO RO, BB, INC","10 W 32ND STREET
NEW YORK, NY 10001",001,ST,08/15/2005,License is Inactive,1164704,TEMPORARY PERMIT,License is Inactive,1,05/10/2005,05/18/2005,08/15/2005
JOON & HER CORP,"10 W 32ND ST
NEW YORK, NY 10001",ML1,OP,09/13/2005,License is Inactive,1164705,ON-PREMISES LIQUOR,License is Inactive,1,05/10/2005,09/13/2005,09/13/2005
6 AVE FINEST DELI PIZZA CORP,"761 6TH AVENUE
26TH & 27TH STREETS
NEW YORK, NY 10001",122,AX,08/31/2008,Expired,1164715,"GROCERY BEER, WINE PROD",Expired,1,05/10/2005,09/13/2005,08/31/2008
A 1 ENTERTAINMENT LLC,"530 W 27TH STREET
10TH & 11TH AVENUES
NEW YORK, NY 10001",252,OP,06/30/2011,License is Inactive,1164729,ON-PREMISES LIQUOR,License is Inactive,2,05/11/2005,07/01/2009,06/30/2011
A 1 ENTERTAINMENT LLC,"530 W 27TH STREET
10TH & 11TH AVENUES
NEW YORK, NY 10001",901,OP,06/30/2011,License is Inactive,ON-PREMISES LIQUOR,License is Inactive,2,"
",A 1 ENTERTAINMENT LLC,ADDL BAR LEFTSIDE ,1
MEDIAN FARM INC,"461 7TH AVE
CRN OF 7TH AVE & 35TH STREET
NEW YORK, NY 10001",141,EB,06/30/2011,License is Inactive,1164962,EATING PLACE BEER,License is Inactive,3,05/17/2005,07/01/2008,06/30/2011
MEDIAN FARM INC,"461 7TH AVE
NEW YORK, NY 10001",001,ST,08/24/2005,License is Inactive,1164963,TEMPORARY PERMIT,License is Inactive,3,05/17/2005,05/27/2005,08/24/2005
461 INC,"461 7TH AVE
NEW YORK, NY 10001",ML1,EB,07/28/2005,License is Inactive,1164964,EATING PLACE BEER,License is Inactive,3,05/17/2005,07/28/2005,07/28/2005
NRS WINE AND LIQUOR INC,"414 8TH AVENUE
WEST 30TH STREET & W 31ST ST
NEW YORK, NY 10001",222,L,11/30/2017,License is Inactive,1165507,LIQUOR STORE,License is Inactive,1,05/31/2005,12/01/2014,11/30/2017
Y W B LLC,"330 W 38TH STREET
8TH & 9TH AVENUES
NEW YORK, NY 10001",252,OP,11/30/2007,Expired,1165582,ON-PREMISES LIQUOR,Expired,4,06/02/2005,12/30/2005,11/30/2007
Y W B LLC,"330 W 38TH STREET
NEW YORK, NY 10001",901,OP,11/30/2007,Expired,ON-PREMISES LIQUOR,Expired,4,"
",Y W B LLC,,1
Y W B LLC,"330 W 38TH STREET
NEW YORK, NY 10001",001,ST,10/30/2005,Expired,1165584,TEMPORARY PERMIT,Expired,4,06/02/2005,08/02/2005,10/30/2005
JCC VENTURES INC,"330 W 38TH ST
NEW YORK, NY 10001",ML1,OP,12/29/2005,License is Inactive,1165587,ON-PREMISES LIQUOR,License is Inactive,4,06/02/2005,12/29/2005,12/29/2005
IBOP INC,"25 WEST 35TH STREET 3RD FL
5TH & 6TH AVENUES
NEW YORK, NY 10001",252,OP,03/31/2008,Expired,1165866,ON-PREMISES LIQUOR,Expired,3,06/07/2005,04/25/2006,03/31/2008
HOT SPOT DELI INC,"432 W 31ST STREET
9TH & 10TH AVENUE
NEW YORK, NY 10001",122,AX,09/30/2008,Expired,1167257,"GROCERY BEER, WINE PROD",Expired,3,07/19/2005,10/05/2005,09/30/2008
EUODO ISHIHAMA RESTAURANT INC,"319 5TH AVE #C
NEW YORK, NY 10001",252,OP,09/30/2013,License is Inactive,1167291,ON-PREMISES LIQUOR,License is Inactive,4,07/19/2005,10/14/2011,09/30/2013
EUODO ISHIHAMA RESTAURANT INC,"319 5TH AVENUE #C
NEW YORK, NY 10001",001,ST,10/18/2005,License is Inactive,1167292,TEMPORARY PERMIT,License is Inactive,4,07/19/2005,07/21/2005,10/18/2005
RUBY FALLS INC,"609 W 29TH ST
NEW YORK, NY 10001",ML1,OP,11/22/2005,License is Inactive,1167335,ON-PREMISES LIQUOR,License is Inactive,2,07/20/2005,11/22/2005,11/22/2005
J&J FRUIT & VEGETABLE CORP,"440 9TH AVENUE
34TH & 35TH STREETS
NEW YORK, NY 10001",122,AX,09/30/2008,License is Inactive,1167567,"GROCERY BEER, WINE PROD",License is Inactive,3,07/29/2005,10/06/2005,09/30/2008
J&J FRUIT & VEGETABLE CORP,"440 9TH AVENUE
NEW YORK, NY 10001",001,ST,11/06/2005,License is Inactive,1167568,TEMPORARY PERMIT,License is Inactive,3,07/29/2005,08/09/2005,11/06/2005
T J S FOOD CORPORATION,"440 9TH AVENUE
NEW YORK, NY 10001",ML1,AX,10/06/2005,License is Inactive,1167569,"GROCERY BEER, WINE PROD",License is Inactive,3,07/29/2005,10/06/2005,10/06/2005
S & R RESTAURANT LLC,"210 212 AVENUE A
NEW YORK, NY 10001",ML1,OP,,Pending,1167936,ON-PREMISES LIQUOR,Pending,2,08/11/2005,,
YATRA INDIAN CUISINE INC,"32 W 31ST STREET
31ST STREET BET 5TH AVE & BDWY
NEW YORK, NY 10001",252,OP,12/31/2009,License is Inactive,1168005,ON-PREMISES LIQUOR,License is Inactive,1,08/15/2005,01/01/2008,12/31/2009
YATRA INDIAN CUISINE INC,"32 W 31ST STREET
NEW YORK, NY 10001",001,ST,01/01/2006,License is Inactive,1168006,TEMPORARY PERMIT,License is Inactive,1,08/15/2005,10/04/2005,01/01/2006
BOLLYWOOD BAR & RESTAURANT INC,"32 W 31ST STREET
NEW YORK, NY 10001",ML1,OP,01/20/2006,License is Inactive,1168007,ON-PREMISES LIQUOR,License is Inactive,1,08/15/2005,01/20/2006,01/20/2006
THIRD BEAT LLC,"254 W 29TH ST GROUND
NEW YORK, NY 10001",344,TW,10/31/2017,License is Active,1168714,TAVERN WINE,License is Active,1,08/31/2005,10/09/2015,10/31/2017
CHIPOTLE MEXICAN GRILL OF COLORADO LLC,"283 7TH AVE
26TH & 27TH STREETS
NEW YORK, NY 10001",252,OP,08/31/2016,License is Active,1169032,ON-PREMISES LIQUOR,License is Active,2,09/08/2005,09/03/2014,08/31/2016
C & E 888 CORP,"390 8TH AVENUE
WEST 29TH & W 30TH STREETS
NEW YORK, NY 10001",252,OP,01/31/2012,License is Inactive,1169306,ON-PREMISES LIQUOR,License is Inactive,1,09/14/2005,02/01/2010,01/31/2012
C & E 888 CORP,"390 8TH AVENUE
NEW YORK, NY 10001",001,ST,03/04/2006,License is Inactive,1169307,TEMPORARY PERMIT,License is Inactive,1,09/14/2005,12/05/2005,03/04/2006
KONG CHI PA CHI INC,"390 8TH AVENUE
NEW YORK, NY 10001",ML1,OP,02/03/2006,License is Inactive,1169308,ON-PREMISES LIQUOR,License is Inactive,1,09/14/2005,02/03/2006,02/03/2006
BANVILLE & JONES WINE MERCHANTS INC,"545 W 34TH ST SUITE 4E
10TH & 11TH AVENUE
NEW YORK, NY 10001",303,WW,12/31/2010,License is Inactive,1169460,WHOLESALE WINE,License is Inactive,,09/16/2005,01/06/2010,12/31/2010
831 GOURMET FOOD CORP,"831 6TH AVENUE
CRN 29TH STREET
NEW YORK, NY 10001",122,AX,10/31/2008,Expired,1169527,"GROCERY BEER, WINE PROD",Expired,2,09/19/2005,11/23/2005,10/31/2008
831 GOURMET FOOD CORP,"831 6TH AVENUE
NEW YORK, NY 10001",001,ST,12/24/2005,Expired,1169528,TEMPORARY PERMIT,Expired,2,09/19/2005,09/26/2005,12/24/2005
EL FARIS CORPORATION,"831 6TH AVENUE
NEW YORK, NY 10001",ML1,AX,12/05/2005,License is Inactive,1169529,"GROCERY BEER, WINE PROD",License is Inactive,2,09/19/2005,12/05/2005,12/05/2005
DIVENTURE LLC,"215 W 28TH STREET
7TH & 8TH AVENUES
NEW YORK, NY 10001",252,OP,12/31/2009,License is Inactive,1170001,ON-PREMISES LIQUOR,License is Inactive,1,09/30/2005,01/01/2008,12/31/2009
DIVENTURE LLC,"215 W 28TH STREET
NEW YORK, NY 10001",901,OP,12/31/2009,License is Inactive,ON-PREMISES LIQUOR,License is Inactive,1,"
",DIVENTURE LLC,ADDL BAR,1
DIVENTURE LLC,"215 W 28TH STREET
NEW YORK, NY 10001",902,OP,12/31/2009,License is Inactive,ON-PREMISES LIQUOR,License is Inactive,1,"
",DIVENTURE LLC,ADDL BAR,1
PENN WINE & SPIRITS INC,"PENNSYLVANIA STATION
3 PENN PLAZA
NEW YORK, NY 10001",222,L,04/30/2018,License is Active,1170139,LIQUOR STORE,License is Active,1,10/04/2005,05/01/2015,04/30/2018
547 WEST STREET PARTNERS LLC,"547 W 27TH STREET
11TH AVE & 12TH AVE
NEW YORK, NY 10001",252,OP,02/29/2012,License is Inactive,1170639,ON-PREMISES LIQUOR,License is Inactive,2,10/17/2005,03/01/2010,02/29/2012
JIA ZHUANG WANG,"154 W 29TH STREET
6TH AVENUE & 7TH AVENUE
NEW YORK, NY 10001",341,RW,02/28/2017,License is Active,1170947,RESTAURANT WINE,License is Active,2,10/25/2005,03/01/2015,02/28/2017
VARIETAL WINE BAR & RESTAURANT CORP,"138 W 25TH STREET
6TH AVE & 7TH AVE
NEW YORK, NY 10001",252,OP,10/31/2008,License is Inactive,1172479,ON-PREMISES LIQUOR,License is Inactive,4,12/08/2005,11/08/2006,10/31/2008
A & N NEWS INC,"221 W 28TH ST
7TH & 8TH AVENUES
NEW YORK, NY 10001",122,A,02/29/2012,Expired,1172769,GROCERY STORE BEER,Expired,3,12/16/2005,03/01/2009,02/29/2012
YATRA INDIAN CUISINE INC,"32 W 31ST STREET
NEW YORK, NY 10001",002,ST,01/31/2006,License is Inactive,1173047,TEMPORARY PERMIT,License is Inactive,2,12/28/2005,01/02/2006,01/31/2006
J & J FRUIT & VEGETABLE CORP,"440 9TH AVE
34TH & 35TH STREETS
NEW YORK, NY 10001",141,EB,03/31/2009,Expired,1173319,EATING PLACE BEER,Expired,1,01/05/2006,04/21/2006,03/31/2009
